Age,Age_Cohort,Band,Critical_Job_Role,Risk_of_Loss,Impact_of_Loss,Future_Leader,EEO_Job_Category,Employment_Status,Ethnic_Background,Gender,Generation,Job_Family,Job_Function,Location,Managerial_Employee,Minority,Organization_Tenure_Months,Organization_Tenure,Employee_ID,Employee_Name,Salary,Salary_Range,Employment_Type,Employment_Type_2,High_Potential,Prev_Performance_Rating,Prev_Successor,Successor,Successor_Duration,Successor_Readiness,Curr_Performance_Rating,Org_Unit_Level_1,Org_Unit_Level_2,Org_Unit_Level_3,Flight_Risk_Grouping,1_Flight_Risk_Driver,1_Flight_Risk_Driver_Value,2_Flight_Risk_Driver,2_Flight_Risk_Driver_Value,3_Flight_Risk_Driver,3_Flight_Risk_Driver_Value,Flight_Risk
42,40-44,Unallocated,No,Low,High,No,Professionals,Active,Caucasian,Female,Generation X,Business Ops Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,1108,19 Years,ENG_92028289,Therese Fichuk,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Field Support,Low,Band,Unallocated,Organization Tenure (Months),186+,State,Washington,0
33,30-34,Unallocated,Yes,High,Medium,Yes,Sales Workers,Active,Caucasian,Male,Generation Y,Telemarketing Sales,Sales,North America,Non-Managerial,Non-Minority,72,6 Years,GOV_12865DEF,David Emmick,30000,$30k-<$40k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Government,Office of Inspector General,Evaluation and Inspections,Medium,Average Hours,0-20,Ethnic Background,Caucasian,Employment Type,Full-Time-Regular,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,2,<3 Months,FIN_DK224,James Bolin,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Controllers,Medium,Average Hours,40+,Position Tenure (Months),28-62,Organization Tenure (Months),28-62,0
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,24,24-<30 Months,RET_DK378,Sebastian Sample,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Operations,Planning and Quality Control,Low,Generation,Generation Y (1979 -,Band,Unallocated,Age (Years),0-25,0
25,25-29,Unallocated,Yes,Low,Low,Yes,Professionals,Inactive or Other,Black or African American,Female,Generation Y,Business Ops Profs,Customer Service,North America,Non-Managerial,Minority,108,9 Years,HTH_7319ABC,Natasha Jacksonking,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Successor - Not ready yet,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Outpatient,Medium,Age (Years),0-25,City,Detroit,Generation,Generation Y (1979 -,0
65,65+,Unallocated,Yes,Low,Low,Yes,Sales Workers,Active,Caucasian,Male,Early Boomers,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,96,8 Years,HTH_33409ABC,Colin Cecelia,70000,$60k-<$80k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Corporate Services,Health and Safety,Medium,Average Hours,40+,State,Virginia,Age (Years),62-79,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,132,11 Years,FIN_DK511,Brent Granrud,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Customer Relations,Customer Support,Low,Band,Unallocated,Age (Years),0-25,Position Tenure (Months),28-62,0
45,45-49,Unallocated,No,Unallocated,Unallocated,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Managers - Business Ops,Customer Service,North America,Managerial,Non-Minority,5,3-<6 Months,tvictor1,Troy Victor,120000,$100k+,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Energy and Utilities,Corporate Services,Health and Safety,Low,Average Hours,0-20,Band,Unallocated,Position Tenure (Months),43186,0
31,30-34,Unallocated,Yes,Low,High,Yes,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,96,7 Years,HTH_9497ABC,Rocky Decorte,40000,$40k-<$50k,Full-Time,Regular,Yes,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Outpatient,Low,Age (Years),26-41,Position Tenure (Months),63-185,Generation,Generation Y (1979 -,0
30,30-34,Unallocated,No,Low,High,Yes,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,96,7 Years,HTH_33530,Kory Samples,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Corporate Services,Legal,Low,Age (Years),26-41,Generation,Generation Y (1979 -,Position Tenure (Months),63-185,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,2,<3 Months,FIN_DK1461,Joshua Wickerham,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Corporate Strategy,Low,Age (Years),0-25,City,Unallocated,Generation,Generation Y (1979 -,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Female,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,144,12 Years,FIN_DK938,Patricia Smith,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Exceeds Expectations,Corporate,Financial Control,Audit and Compliance,Low,Average Hours,0-20,Position Tenure (Months),28-62,Generation,Generation Y (1979 -,0
36,35-39,Unallocated,No,Low,Low,No,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Engineering / Technical,Asia Pacific,Managerial,Non-Minority,120,10 Years,ENG_92027688ABC,Jerry Shepherd,70000,$60k-<$80k,Full-Time,Regular,No,Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Exceeds Expectations,Energy and Utilities,Operations,Field Support,Low,Average Hours,36-40,Band,Unallocated,State,Brisbane,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,2,<3 Months,FIN_DK247,Phillip Schmutz,85000,$80k-<$100k,Full-Time,Regular,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Customer Relations,Customer Support,Low,Age (Years),0-25,Position Tenure (Months),28-62,Band,Unallocated,0
24,20-24,Unallocated,Yes,Unallocated,Unallocated,Yes,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Sales,Asia Pacific,Non-Managerial,Non-Minority,11,9-<12 Months,FIN_26347,Charlotte Rupp,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Corporate,Sales and Marketing,Product Management,Low,Position Tenure (Months),63-185,Band,Unallocated,Ethnic Background,Caucasian,0
44,40-44,Unallocated,No,Low,Low,No,Office and Clerical,Active,Caucasian,Female,Generation X,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,136,13 Years,FIN_92027204,Courtney Ruby,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Corporate Strategy,Low,Generation,Generation X (1964 -,Position Tenure (Months),186+,Age (Years),42-61,0
21,20-24,Unallocated,Yes,Medium,Medium,Yes,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Sales,Europe,Non-Managerial,Non-Minority,2,<3 Months,FIN_58191,Janene Simmelink,40000,$40k-<$50k,Full-Time,Temporary,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Operations,Manufacturing,Low,Generation,Generation Y (1979 -,Age (Years),26-41,Band,Unallocated,0
20,20-24,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,2,<3 Months,RET_DK188,Brian Axe,85000,$80k-<$100k,Full-Time,Regular,No,Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Operations,Planning and Quality Control,Low,Band,Unallocated,Position Tenure (Months),28-62,Age (Years),0-25,0
34,30-34,Unallocated,No,Medium,High,No,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Engineering / Technical,Europe,Non-Managerial,Non-Minority,15,15-<18 Months,ENG_92029513DEF,Robert Jasper,120000,$100k+,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Field Support,Medium,Age (Years),26-41,Band,Unallocated,Employment Type,Full-Time-Regular,0
28,25-29,Unallocated,Yes,Medium,High,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Customer Service,North America,Non-Managerial,Non-Minority,20,18-<21 Months,HTH_55236,Joshua Teixeira,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Customer Services,Telecommunications Support,Low,Age (Years),26-41,Generation,Generation Y (1979 -,Band,Unallocated,0
33,30-34,Unallocated,Yes,Low,High,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,14,12-<15 Months,ENG_78791ABC,Jezeriah Tuleshkov,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Exceeds Expectations,Energy and Utilities,Corporate Services,Legal Services,Low,Age (Years),26-41,Generation,Generation Y (1979 -,Band,Unallocated,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,108,9 Years,FIN_DK120,Jakob Mech,85000,$80k-<$100k,Full-Time,Regular,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,IT,IT Support,Low,Position Tenure (Months),28-62,Band,Unallocated,Organization Tenure (Months),63-185,0
30,30-34,Unallocated,Yes,Low,High,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Sales,North America,Non-Managerial,Non-Minority,48,4 Years,GOV_27979,Holly Godbehere,50000,$50k-<$60k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Public Affairs and Communication,Internal Communications,Low,Position Tenure (Months),63-185,Band,Unallocated,Age (Years),26-41,0
40,40-44,Unallocated,Yes,Low,High,Yes,Sales Workers,Active,Caucasian,Female,Generation X,Account Managers (Sales),Store Operations,North America,Non-Managerial,Non-Minority,96,7 Years,RET_9412,Anika Webb,40000,$40k-<$50k,Part-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Customer Services,Department Personel,High,Ethnic Background,Caucasian,Age (Years),26-41,City,Oxford,0
34,30-34,Unallocated,Yes,Medium,Medium,Yes,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Store Operations,Asia Pacific,Non-Managerial,Non-Minority,72,6 Years,rbusch1,Eric Chen,40000,$40k-<$50k,Full-Time,Temporary,Yes,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Corporate Services,Finance,High,Average Hours,36-40,Position Tenure (Months),63-185,Organization Tenure (Months),63-185,1
27,25-29,Unallocated,Yes,Low,Low,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Sales,North America,Non-Managerial,Non-Minority,48,4 Years,GOV_33172DEF,Brian Fewell,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Inspector General,Investigation,Low,Position Tenure (Months),63-185,Generation,Generation Y (1979 -,Age (Years),26-41,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,132,11 Years,FIN_DK173,Troy Rackley,85000,$80k-<$100k,Full-Time,Regular,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Human Resources,Administrative Services,Low,Average Hours,36-40,Band,Unallocated,Position Tenure (Months),28-62,0
59,55-59,Unallocated,Yes,Low,Low,Yes,Sales Workers,Active,Caucasian,Female,Late Boomers,Account Managers (Sales),Customer Service,North America,Non-Managerial,Non-Minority,72,6 Years,HTH_92027624,Lacey Bourbon,50000,$50k-<$60k,Full-Time,Regular,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Customer Services,Telecommunications Support,High,Band,Unallocated,Ethnic Background,Caucasian,State,Delaware,1
25,25-29,Unallocated,No,Low,Low,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Sales,Asia Pacific,Non-Managerial,Non-Minority,11,9-<12 Months,FIN_33469,Janessa Binns,40000,$40k-<$50k,Part-Time,Regular,No,Failed to Meet Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Corporate,Sales and Marketing,Product Management,Medium,Average Hours,40+,Organization Tenure (Months),63-185,State,Auckland,0
49,45-49,8,Yes,Unallocated,Unallocated,Yes,Office and Clerical,Active,Caucasian,Male,Generation X,Administrative Support,Customer Service,North America,Non-Managerial,Non-Minority,204,17 Years,HTH_92027707,Brenton Hargrove,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Outpatient,High,Organization Tenure (Months),186+,Age (Years),42-61,Employment Level,Exempt,0
51,50-54,Unallocated,No,Unallocated,Unallocated,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Directors/Senior Managers,Sales,North America,Managerial,Non-Minority,120,10 Years,GOV_92027423DEF,Daniel Johnson,120000,$100k+,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of Policy and Planning,Policy Advice and Coordination,Low,Average Hours,40+,Age (Years),42-61,Band,Unallocated,0
32,30-34,Unallocated,Yes,Low,Medium,Yes,Sales Workers,Active,Hispanic/Latino,Female,Generation Y,Account Managers (Sales),Sales,North America,Non-Managerial,Minority,34,30-<36 Months,GOV_52693,Sofia Granado,50000,$50k-<$60k,Full-Time,Temporary,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Public Affairs and Communication,Public Relations,Low,Position Tenure (Months),28-62,Band,Unallocated,Employment Type,Full-Time-Temporary,0
30,30-34,Unallocated,Yes,Low,Unallocated,Yes,Sales Workers,Active,Caucasian,Female,Generation Y,Account Managers (Sales),Engineering / Technical,North America,Non-Managerial,Non-Minority,72,6 Years,ENG_14615ABC,Georganna Ziemniak,50000,$50k-<$60k,Full-Time,Temporary,Yes,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Corporate Services,Finance,Low,Band,Unallocated,Position Tenure (Months),63-185,Age (Years),26-41,1
45,45-49,Unallocated,No,Low,High,No,Exe/Snr Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Senior Leadership,Sales,North America,Managerial,Non-Minority,72,6 Years,GOV_92028865DEF,John Thrift,120000,$100k+,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Policy and Planning,Information Management,Low,Average Hours,40+,City,Port Angeles,Age (Years),42-61,0
33,30-34,Unallocated,Yes,Low,High,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Customer Service,North America,Non-Managerial,Non-Minority,14,12-<15 Months,HTH_78791,Brandon Grafsky,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Healthcare,Nursing,Outpatient,Medium,Age (Years),26-41,Band,Unallocated,State,Texas,0
53,50-54,Unallocated,No,Unallocated,Unallocated,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Late Boomers,Managers - Business Ops,Store Operations,Asia Pacific,Managerial,Non-Minority,5,3-<6 Months,RET_33349,Jason Blalock,120000,$100k+,Part-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Retail,Corporate Services,Finance,High,Average Hours,40+,Age (Years),42-61,Employment Level,Exempt,0
29,25-29,Unallocated,No,Low,High,No,Sales Workers,Active,Caucasian,Male,Generation Y,Account Managers (Sales),Store Operations,North America,Non-Managerial,Non-Minority,22,21-<24 Months,RET_73957,William Jarrett,70000,$60k-<$80k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Customer Services,Department Personel,Low,Average Hours,0-20,Band,Unallocated,Age (Years),26-41,0
31,30-34,Unallocated,No,Low,Medium,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Female,Generation Y,Managers - Business Ops,Sales,North America,Non-Managerial,Non-Minority,96,7 Years,JERHERL,Randy Hopkins,70000,$60k-<$80k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of General Counsel,Business Law,High,Average Hours,40+,State,Washington,Age (Years),26-41,1
32,30-34,Unallocated,Yes,Medium,Low,Yes,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Customer Service,North America,Non-Managerial,Non-Minority,22,21-<24 Months,HTH_71886ABC,Casaundra Dupslaff,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Healthcare,Nursing,Outpatient,Low,Band,Unallocated,Position Tenure (Months),28-62,State,Michigan,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,48,4 Years,FIN_DK1200,Allyson Fleming,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Failed to Meet Expectations,Corporate,Financial Control,Corporate Strategy,Low,Band,Unallocated,Position Tenure (Months),43186,Ethnic Background,Caucasian,0
25,25-29,Unallocated,No,Unallocated,Unallocated,No,Office and Clerical,Active,Hispanic/Latino,Male,Generation Y,Administrative Support,Customer Service,North America,Non-Managerial,Minority,2,<3 Months,HTH_101628,Christian Letona,50000,$50k-<$60k,Full-Time,Temporary,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Healthcare,Corporate Services,Legal,Low,Band,Unallocated,Position Tenure (Months),43186,State,Virginia,1
39,35-39,Unallocated,No,Low,High,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Directors/Senior Managers,Sales,North America,Managerial,Non-Minority,120,10 Years,GOV_92028860ABC,Jacob Rushefsky,120000,$100k+,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of Policy and Planning,Information Management,Low,Band,Unallocated,Ethnic Background,Caucasian,Age (Years),26-41,0
63,60-64,Unallocated,No,Unallocated,Unallocated,No,Office and Clerical,Active,Caucasian,Female,Early Boomers,Administrative Support,Engineering / Technical,Europe,Non-Managerial,Non-Minority,1108,19 Years,ENG_92027046,Elizabeth Biscarner,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Corporate Services,Finance,Medium,Age (Years),62-79,Generation,Early Boomers (1946,Band,Unallocated,1
39,35-39,Unallocated,No,Unallocated,Unallocated,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Male,Generation X,Directors/Senior Managers,Sales,Europe,Managerial,Non-Minority,2,<3 Months,FIN_92027631,Kevin McDonald,120000,$100k+,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Research and Development,Product Planning,Medium,Average Hours,36-40,Position Tenure (Months),28-62,Organization Tenure (Months),28-62,0
25,25-29,Unallocated,Yes,High,High,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Engineering / Technical,North America,Non-Managerial,Non-Minority,24,24-<30 Months,ENG_61135DEF,Bret Dozier,40000,$40k-<$50k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Operations,Project Management,Low,Average Hours,40+,Band,Unallocated,Employment Type,Full-Time-Regular,0
42,40-44,Unallocated,Yes,Unallocated,Unallocated,Yes,Professionals,Active,Caucasian,Female,Generation X,Information Systems Profs,Sales,North America,Non-Managerial,Non-Minority,180,15 Years,GOV_92003001ABC,Cheri Nepus,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of General Counsel,Business Law,High,Average Hours,40+,Band,Unallocated,Employment Type,Full-Time-Regular,1
42,40-44,Unallocated,Yes,Medium,Medium,Yes,Office and Clerical,Active,Caucasian,Female,Generation X,Administrative Support,Store Operations,Europe,Non-Managerial,Non-Minority,36,3 Years,RET_33588,Regan Barnhart,30000,$30k-<$40k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Retail,Corporate Services,Human Resources,Medium,Average Hours,0-20,Ethnic Background,Caucasian,Age (Years),42-61,0
62,60-64,Unallocated,No,Low,Medium,No,Professionals,Active,Caucasian,Female,Early Boomers,Business Ops Profs,Customer Svcs,North America,Non-Managerial,Non-Minority,172,16 Years,GOV_92026413,Kimberly Harkey,70000,$60k-<$80k,Full-Time,Regular,Yes,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Failed to Meet Expectations,Government,Office of General Counsel,Business Law,High,Average Hours,0-20,Age (Years),62-79,Position Tenure (Months),186+,0
50,50-54,Unallocated,Yes,Low,Low,Yes,Sales Workers,Active,Caucasian,Male,Generation X,Telemarketing Sales,Store Operations,North America,Non-Managerial,Non-Minority,5,3-<6 Months,RET_92027369,Michael Oslin,50000,$50k-<$60k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Retail,Operations,Supply,High,Average Hours,36-40,Organization Tenure (Months),43186,State,New York,1
22,20-24,Unallocated,Yes,Unallocated,Unallocated,Yes,Professionals,Active,Caucasian,Male,Generation Y,Business Ops Profs,Store Operations,North America,Non-Managerial,Non-Minority,2,<3 Months,RET_93761,David Frey,40000,$40k-<$50k,Full-Time,Regular,No,Not Rated,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Not Rated,Retail,Customer Services,Department Personel,Medium,Band,Unallocated,Position Tenure (Months),43186,Organization Tenure (Months),43186,0
27,25-29,Unallocated,Yes,Medium,Medium,Yes,Sales Workers,Inactive or Other,Caucasian,Female,Generation Y,Account Managers (Sales),Engineering / Technical,Asia Pacific,Non-Managerial,Non-Minority,48,4 Years,ENG_26344DEF,Jennifer Maloney,40000,$40k-<$50k,Full-Time,Temporary,Yes,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Energy and Utilities,Customer Relations,Customer Support,Low,Band,Unallocated,Age (Years),26-41,Employment Type,Full-Time-Temporary,1
31,30-34,Unallocated,Yes,Low,High,Yes,Sales Workers,Active,Black or African American,Male,Generation Y,Account Managers (Sales),Sales,North America,Non-Managerial,Minority,96,7 Years,GOV_8463,Brian Covington,50000,$50k-<$60k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of General Counsel,Business Law,Low,Average Hours,40+,Band,Unallocated,Position Tenure (Months),63-185,0
16,<20,Unallocated,Yes,High,High,Yes,Office and Clerical,Active,Caucasian,Male,Generation Z,Administrative Support,Sales,Europe,Non-Managerial,Non-Minority,96,8 Years,FIN_DK201,Alexander Fried,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Corporate,Financial Control,Audit and Compliance,Medium,Band,Unallocated,Position Tenure (Months),28-62,State,Paris,0
33,30-34,Unallocated,No,Low,Medium,No,1st/Mid Level Officials & Mgrs,Active,Caucasian,Female,Generation Y,Managers - Business Ops,Sales,North America,Non-Managerial,Non-Minority,22,21-<24 Months,GOV_71779DEF,Merry Kotusinski,70000,$60k-<$80k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Significantly Exceeds Expectations,Government,Office of the Secretary,Planning,Low,Band,Unallocated,State,Washington,Employment Type,Full-Time-Regular,0
24,20-24,Unallocated,Yes,Unallocated,Unallocated,Yes,Office and Clerical,Active,Hispanic/Latino,Female,Generation Y,Administrative Support,Customer Svcs,North America,Non-Managerial,Minority,34,30-<36 Months,GOV_00101026ABC,Vianey Solis,30000,$30k-<$40k,Full-Time,Regular,Yes,Not Rated,Not identified as Successor,Successor - Not ready yet,<1 Year,2-3 Years,Significantly Exceeds Expectations,Government,Office of Inspector General,Audit Services,Low,Band,Unallocated,Organization Tenure (Months),28-62,Age (Years),0-25,0
24,20-24,Unallocated,Yes,Low,Low,Yes,Professionals,Active,Caucasian,Female,Generation Y,Business Ops Profs,Sales,North America,Non-Managerial,Non-Minority,24,24-<30 Months,GOV_61236,Paula Watley,40000,$40k-<$50k,Full-Time,Regular,No,Significantly Exceeds Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Public Affairs and Communication,Internal Communications,Low,Average Hours,21-30,Age (Years),0-25,Position Tenure (Months),28-62,0
50,50-54,Unallocated,No,Low,High,No,Sales Workers,Active,Caucasian,Male,Generation X,Account Managers (Sales),Sales,North America,Non-Managerial,Non-Minority,96,8 Years,GOV_92027652ABC,Jeffrey Sowers,85000,$80k-<$100k,Full-Time,Regular,No,Meets Expectations,Not identified as Successor,Not identified as Successor,Unallocated,Unallocated,Meets Expectations,Government,Office of Public Affairs and Communication,Internal Communications,Low,Band,Unallocated,Ethnic Background,Caucasian,Position Tenure (Months),63-185,0
